FID,ASSETID,INST_YR,MATERIAL,WIDTH,OWNERSHIP,CLASS1,CLASS2,NAME1,NAME2,GlobalID,LIFESTATUS,Shape_len,Shape__Length
339,TR108,2002,Gravel,1.5,Public,Recreational,Recreational,,,{333EE042-A1E6-461C-993F-32CECE13D1C4},Active,,173.521119660514
340,TR170,2002,Gravel,1.5,Public,Recreational,Recreational,,,{4D162C33-8141-4D04-BFB4-EFD0DDC8E8F4},Active,,181.619495578073
341,TR109,2002,Gravel,1.5,Public,Recreational,Recreational,,,{4BB6977D-3B69-4A73-B36E-535D4463B6DA},Active,,191.10437512359
342,TR171,2002,Gravel,1.5,Public,Recreational,Recreational,,,{5159C9F5-D987-4476-9DE6-672133B27835},Active,,219.086580216882
343,TR325,2002,Gravel,1.5,Public,Recreational,Recreational,,,{83F0FB49-E13C-444B-B295-662D1050DEF6},Active,,125.234034334324
344,TR107,2002,Gravel,1.5,Public,Recreational,Recreational,,,{C3C5857C-F8C9-46F0-968A-659AE55473EB},Active,,221.797971581859
345,TR324,2002,Gravel,1.5,Public,Recreational,Recreational,,,{CB138267-5D9E-42F0-A23D-F2E83FE86DAD},Active,,286.707485645768
346,TR321,2002,Gravel,1.5,Public,Commuter,Commuter,Miners Loop,,{50DBDC63-1596-43B6-B685-A323E13767AA},Active,,640.402862628626
347,TR213,2002,Gravel,1.5,Public,Recreational,Shortcut,Miners Loop,,{89B0042E-719E-423F-AC1F-EA9EB11A2C09},Active,,39.0772247222094
348,TR172,2002,Gravel,1.5,Public,Recreational,Recreational,Miners Loop,,{88F607EB-E91A-48C3-A560-DA35C2582126},Active,,372.946236442283
349,TR102,2002,Gravel,1.5,Public,Recreational,Recreational,,,{F99D5F63-2AFF-4AAD-8DF4-0FD057EB66B6},Active,,250.304562234917
350,TR393,1990,Organic,2.5,Public,Recreational,Recreational,,,{B2AB07EB-E3AE-4A10-B777-1DC938C7E257},Active,,227.658044000298
351,TR003,2000,Gravel,1.5,Public,Recreational,Shortcut,,,{A1133E4E-9A97-46C7-96CC-F5ED0F45752B},Active,,34.6764896898082
352,TR505,2013,Gravel,,Public,Recreational,Recreational,,,{182985BF-3D0E-4D7B-8722-1CD9EA1B3F52},Active,,676.68584269089
353,TR507,2013,Paved,2.5,Public,Commuter,Commuter,Trans Canada Trail,,{31A71DAE-E3ED-4AFB-85D6-D9D85355DBE1},Active,,1715.51488870608
354,TR485,2011,Paved,2.5,Public,Commuter,Commuter,,,{1471406E-D797-48FF-AF33-E953D313CF4F},Active,,304.305736540125
355,TR488,2011,Paved,3,Public,Commuter,Commuter,,,{806A36F8-BEFE-4F4D-B2AB-1EEE27FC703D},Active,,229.885094702026
356,TR497,2002,Paved,2.5,Public,Commuter,Commuter,,,{BB99316F-374F-46A4-BACD-4E939D80BBCC},Active,,1078.6994477318
357,TR048,2000,Gravel,1.5,Public,Recreational,Recreational,,,{398B56DF-9462-4694-96EC-440B38A0BADB},Active,,139.657881190302
358,TR005,2000,Gravel,1.5,Public,Recreational,Recreational,,,{CE9C45E9-C2E9-4740-AF57-F99DA72156C9},Active,,390.941675598742
359,TR001,2000,Gravel,1.5,Public,Recreational,Recreational,,,{8E15F531-B900-4E4C-8CBD-6A305C43260B},Active,,157.400538059606
360,TR004,2000,Gravel,1.5,Public,Recreational,Shortcut,,,{5373FA27-4873-4B66-B9B0-E63228F1BA29},Active,,81.3436665727686
361,TR514,2000,Gravel,1.5,Public,Recreational,Recreational,,,{712D2DFB-EB32-4219-9024-17F566897AA9},Active,,207.539279130495
362,TR515,2000,Gravel,1.5,Public,Recreational,Recreational,,,{A38E4B4E-5C44-43F5-AD72-C471C9596C92},Active,,39.9501605862224
363,TR024,2000,Paved,2.5,Public,Recreational,Recreational,,,{8CBEA259-F5FE-4988-8D41-B5F61D200C29},Active,,167.821226232767
364,TR017,2000,Paved,2.5,Public,Commuter,Commuter,,,{021D8700-92AB-4BD2-84A9-B15086E6C5A5},Active,,86.284181954776
365,TR511,2011,Paved,2.5,Public,Commuter,Commuter,,,{4238E546-6409-4D61-8BC0-6C9ED134DB06},Active,,1089.34556004003
366,TR394,2006,Gravel,1.5,Public,Recreational,Recreational,,,{449DFC8D-A431-4CB5-91F5-DDD4AD68963C},Active,,1070.63187182064
367,TR261,2004,Paved,2.5,Public,Commuter,Commuter,,,{501BA252-9EA8-4770-88E5-B216B38CD020},Active,,280.212214189472
368,TR517,2013,Gravel,1.5,Public,Recreational,Recreational,,,{95D43508-3621-41AE-8503-D3655066F257},Active,,221.155816843132
