X,Y,FID,UnitNumber,AddressNum,StreetName,FullCivicA
-12838596.8019,6635578.3198,1614,,180,MORAINE ROAD,180 MORAINE ROAD
-12840580.2806,6637448.0058,1615,301,1151,SIDNEY STREET,301-1151 SIDNEY STREET
-12840453.3959,6637468.3138,1616,,901,MOUNTAIN STREET,901 MOUNTAIN STREET
-12840829.4162,6638741.9531,1617,,300,PALLISER LANE,300 PALLISER LANE
-12838258.4213,6637470.9556,1618,,454,EAGLE HEIGHTS,454 EAGLE HEIGHTS
-12841735.8313,6639108.5563,1619,203,1818,MOUNTAIN AVENUE,203-1818 MOUNTAIN AVENUE
-12841116.9154,6637075.2836,1620,308,743,RAILWAY AVENUE,308-743 RAILWAY AVENUE
-12839988.1236,6636305.0874,1621,115,101,MONTANE ROAD,115-101 MONTANE ROAD
-12840746.7367,6635917.4154,1622, ,1,SPRING CREEK GATE,1 SPRING CREEK GATE
-12842304.5442,6637263.1834,1623,,914,9TH STREET,914 9TH STREET
-12838575.9414,6636997.4054,1624,,124,EAGLE TERRACE ROAD,124 EAGLE TERRACE ROAD
-12837992.7249,6632228.6058,1625,110,150,CROSSBOW PLACE,110-150 CROSSBOW PLACE
-12839223.4554,6636930.7192,1626,,9,BLACKROCK CRESCENT,9 BLACKROCK CRESCENT
-12841632.8402,6634187.1537,1627,,118,MORRIS,118 MORRIS
-12840580.2806,6637448.0058,1628,,1151,SIDNEY STREET,1151 SIDNEY STREET
-12838775.252,6637086.6711,1629,9,242,BENCHLANDS TERRACE,9-242 BENCHLANDS TERRACE
-12841513.6667,6636288.0625,1630,1,622,3RD STREET,1-622 3RD STREET
-12841439.7496,6633927.3385,1631,137,10,WALKER,137-10 WALKER
-12837493.6144,6630662.2202,1632,110,104,ARMSTRONG PLACE,110-104 ARMSTRONG PLACE
-12839016.1291,6636726.1986,1633,,216,TRAPPER RISE,216 TRAPPER RISE
-12842761.6522,6636694.7969,1634,,146,RUNDLE CRESCENT,146 RUNDLE CRESCENT
-12842120.0445,6637271.3172,1635,,1002,8TH AVENUE,1002 8TH AVENUE
-12840908.5937,6638715.2727,1636,410,300,PALLISER LANE,410-300 PALLISER LANE
-12841726.8136,6636871.8991,1637,,709,7TH STREET,709 7TH STREET
-12838128.1143,6631561.7056,1638,,208,MISKOW CLOSE,208 MISKOW CLOSE
-12840405.8939,6638157.5462,1639,109,1451B,PALLISER TRAIL,109-1451B PALLISER TRAIL
-12837992.7249,6632228.6058,1640,,150,CROSSBOW PLACE,150 CROSSBOW PLACE
-12837400.7835,6630379.4947,1641,421,107,ARMSTRONG PLACE,421-107 ARMSTRONG PLACE
-12840536.8628,6636171.0624,1642,303B,1012,SPRING CREEK DRIVE,303B-1012 SPRING CREEK DRIVE
-12838971.8274,6636468.548,1643,,311,PIONEER ROAD,311 PIONEER ROAD
-12837516.8151,6631442.9947,1644,102,100C,DYRGAS LANE,102-100C DYRGAS LANE
-12837578.8893,6635557.7394,1645,203,115,ELK RUN BOULEVARD,203-115 ELK RUN BOULEVARD
-12840355.0038,6639621.1025,1646,101,13,ASPEN GLEN,101-13 ASPEN GLEN
-12842272.0536,6634995.5173,1647,145,200,PROSPECT HEIGHTS,145-200 PROSPECT HEIGHTS
-12840427.145,6639652.7304,1648,125,13,ASPEN GLEN,125-13 ASPEN GLEN
-12841011.5256,6637854.6376,1649,4B,1212,2ND AVENUE,4B-1212 2ND AVENUE
-12839916.9438,6635696.1692,1650,221B,306,BOW VALLEY TRAIL,221B-306 BOW VALLEY TRAIL
-12838127.9037,6630779.3078,1651,,130A,HUBMAN LANDING,130A HUBMAN LANDING
-12841465.2454,6636287.9365,1652,3,614,3RD STREET,3-614 3RD STREET
-12836385.1529,6629950.5365,1653,603,105,STEWART CREEK RISE,603-105 STEWART CREEK RISE
-12838022.736,6632341.1282,1654,,170,CROSSBOW PLACE,170 CROSSBOW PLACE
-12840176.3466,6636320.0359,1655,306,500        ,BOW VALLEY TRAIL         ,306-500 BOW VALLEY TRAIL         
-12837519.982,6630982.6827,1656,202,70,DYRGAS GATE,202-70 DYRGAS GATE
-12841046.1867,6637351.5776,1657,202,890,RAILWAY AVENUE           ,202-890 RAILWAY AVENUE           
-12841201.5825,6638291.7716,1658,,1437,1ST AVENUE,1437 1ST AVENUE
